Timestamp,TP9,AF7,AF8,TP10
1777370742.622874,-0.48828125,-0.48828125,0.0,-0.48828125
1777370742.6267803,0.9765625,0.48828125,-12.20703125,0.9765625
1777370742.6306865,-1.953125,18.06640625,22.4609375,24.4140625
1777370742.6345928,4.39453125,-42.96875,-75.1953125,-66.89453125
1777370742.638499,8.30078125,253.41796875,85.44921875,366.69921875
1777370742.6424053,27.34375,627.9296875,-228.515625,756.34765625
1777370742.6463115,121.09375,562.5,-858.3984375,491.2109375
1777370742.6502178,361.328125,641.6015625,-614.2578125,631.34765625
1777370742.654124,601.07421875,786.1328125,-500.0,893.5546875
1777370742.6580303,707.51953125,888.671875,-458.49609375,961.42578125
1777370742.6619365,793.45703125,976.07421875,-492.1875,886.71875
1777370742.6658428,711.42578125,968.26171875,-526.85546875,713.37890625
1777370742.669749,688.96484375,970.21484375,-504.39453125,752.44140625
1777370742.6736553,880.37109375,971.6796875,-538.0859375,934.5703125
1777370742.6775615,952.63671875,971.19140625,-538.57421875,999.0234375
1777370742.6814678,805.17578125,971.6796875,-525.87890625,843.75
1777370742.685374,616.69921875,963.8671875,-590.8203125,590.8203125
1777370742.6892803,679.19921875,980.95703125,-726.5625,721.19140625
1777370742.6931865,811.03515625,916.015625,-775.87890625,875.9765625
1777370742.6970928,651.3671875,733.88671875,-717.28515625,745.60546875
1777370742.700999,480.46875,625.0,-735.83984375,521.97265625
1777370742.7049053,405.2734375,671.875,-753.90625,414.0625
1777370742.7088115,202.1484375,746.58203125,-684.08203125,427.24609375
1777370742.7127178,167.96875,766.11328125,-621.09375,667.96875
1777370742.716624,-57.12890625,636.71875,-607.91015625,684.5703125
1777370742.7205303,-854.4921875,-143.06640625,-561.03515625,148.4375
1777370742.7244365,-1000.0,-699.21875,-565.91796875,115.72265625
1777370742.7283428,-965.33203125,-525.390625,-600.5859375,47.36328125
1777370742.732249,-1000.0,-18.06640625,-630.859375,-433.10546875
1777370742.7361553,-1000.0,372.0703125,-630.37109375,-675.78125
1777370742.7400615,-1000.0,350.5859375,-666.015625,-716.30859375
1777370742.7439678,-1000.0,12.6953125,-633.30078125,-701.171875
1777370742.747874,-1000.0,-293.9453125,-562.5,-835.9375
1777370742.7517803,-1000.0,-791.9921875,-884.765625,-530.2734375
1777370742.7556865,-1000.0,-864.2578125,-1000.0,-19.53125
1777370742.7595928,-1000.0,-775.87890625,-963.37890625,-9.27734375
1777370742.763499,-1000.0,-697.265625,-930.6640625,210.44921875
1777370742.7674053,-1000.0,-529.78515625,-832.03125,195.80078125
1777370742.7713115,-1000.0,-435.546875,-690.91796875,-255.859375
1777370742.7752178,-1000.0,-598.14453125,-657.2265625,-475.5859375
1777370742.779124,-1000.0,-765.625,-106.93359375,-338.37890625
1777370742.7830303,-1000.0,-612.79296875,504.39453125,20.01953125
1777370742.7869365,-1000.0,-577.1484375,-93.26171875,493.1640625
1777370742.7908428,-1000.0,-471.19140625,-118.65234375,884.765625
1777370742.794749,-1000.0,-553.22265625,617.67578125,754.8828125
1777370742.7986553,-1000.0,-740.234375,687.5,570.80078125
1777370742.8025615,-1000.0,-687.01171875,632.32421875,448.73046875
1777370742.8064678,-1000.0,-618.65234375,752.44140625,-110.83984375
1777370742.810374,-1000.0,-617.1875,810.05859375,-813.96484375
1777370742.8142803,-1000.0,-610.83984375,810.546875,-996.09375
1777370742.8181865,-1000.0,-475.5859375,878.90625,-1000.0
1777370742.8220928,-1000.0,-500.9765625,984.375,-901.3671875
1777370742.825999,-1000.0,-721.6796875,431.15234375,-592.28515625
1777370742.8299053,-1000.0,-841.796875,-575.1953125,-241.2109375
1777370742.8338115,-1000.0,-884.765625,-275.87890625,216.30859375
1777370742.8377178,-1000.0,-983.88671875,745.60546875,363.28125
1777370742.841624,-1000.0,-967.28515625,915.52734375,401.3671875
1777370742.8455303,-1000.0,-899.90234375,892.08984375,206.0546875
1777370742.8494365,-1000.0,-818.84765625,947.265625,-435.546875
1777370742.8533428,-1000.0,-692.3828125,944.3359375,-862.3046875
1777370742.857249,-1000.0,-717.28515625,950.1953125,-940.91796875
1777370742.8611553,-1000.0,-874.51171875,947.75390625,-876.46484375
1777370742.8650615,-1000.0,-998.046875,949.21875,-921.38671875
1777370742.8689678,-1000.0,-999.0234375,949.21875,-1000.0
1777370742.872874,-1000.0,-997.55859375,905.76171875,-999.51171875
1777370742.8767803,-1000.0,-1000.0,898.92578125,-998.53515625
1777370742.8806865,-1000.0,-1000.0,917.48046875,-1000.0
1777370742.8845928,-1000.0,-1000.0,899.4140625,-1000.0
1777370742.888499,-1000.0,-1000.0,890.13671875,-1000.0
1777370742.8924053,-1000.0,-1000.0,893.06640625,-1000.0
1777370742.8963115,-1000.0,-1000.0,914.55078125,-1000.0
1777370742.9002178,-1000.0,-1000.0,921.875,-1000.0
1777370742.904124,-1000.0,-1000.0,920.41015625,-1000.0
1777370742.9080303,-1000.0,-1000.0,940.91796875,-1000.0
1777370742.9119365,-1000.0,-1000.0,946.77734375,-1000.0
1777370742.9158428,-1000.0,-1000.0,948.2421875,-1000.0
1777370742.919749,-1000.0,-1000.0,949.70703125,-1000.0
1777370742.9236553,-1000.0,-1000.0,945.3125,-1000.0
1777370742.9275615,-1000.0,-1000.0,941.89453125,-1000.0
1777370742.9314678,-1000.0,-1000.0,932.12890625,-1000.0
1777370742.935374,-1000.0,-1000.0,928.22265625,-1000.0
1777370742.9392803,-1000.0,-1000.0,925.29296875,-1000.0
1777370742.9431865,-1000.0,-1000.0,919.43359375,-1000.0
1777370742.9470928,-1000.0,-1000.0,903.80859375,-1000.0
1777370742.950999,-992.1875,-1000.0,889.6484375,-1000.0
1777370742.9549053,-1000.0,-1000.0,868.1640625,-1000.0
1777370742.9588115,-953.61328125,-1000.0,864.2578125,-1000.0
1777370742.9627178,-734.375,-1000.0,825.1953125,-1000.0
1777370742.966624,-680.6640625,-1000.0,740.72265625,-1000.0
1777370742.9705303,-708.0078125,-1000.0,672.8515625,-1000.0
1777370742.9744365,-650.390625,-1000.0,625.9765625,-1000.0
1777370742.9783428,-455.078125,-1000.0,611.328125,-1000.0
1777370742.982249,-265.13671875,-1000.0,598.14453125,-1000.0
1777370742.9861553,-260.7421875,-1000.0,572.265625,-1000.0
1777370742.9900615,-311.5234375,-1000.0,496.58203125,-1000.0
1777370742.9939678,-291.015625,-1000.0,443.84765625,-1000.0
1777370742.997874,-171.875,-1000.0,397.94921875,-1000.0
1777370743.0017803,-87.40234375,-1000.0,331.54296875,-1000.0
1777370743.0056865,-109.375,-1000.0,265.13671875,-1000.0
1777370743.0095928,-215.33203125,-1000.0,205.56640625,-1000.0
1777370743.013499,-231.93359375,-1000.0,95.21484375,-1000.0
1777370743.0174053,-138.671875,-1000.0,-10.25390625,-1000.0
